company_id,statement_type,file_name,extracted_path,backup_path,has_discrepancy,category,line_item,field_or_period,extracted_text_value,backup_text_value,explanation
2023 General Motors Annual Report,consolidated-balance-sheet,2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text_backup/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,true,wording_mismatch,"Accounts and notes receivable, net",description,"Accounts and notes receivable, net of allowance of $298 and $260","Accounts and notes receivable, net","Version A includes allowance amounts ($298 and $260), version B does not."
2023 General Motors Annual Report,consolidated-balance-sheet,2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text_backup/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,true,wording_mismatch,"GM Financial receivables, net (Current)",description,"GM Financial receivables, net of allowance of $906 and $869 (Note 5; Note 11 at VIEs)","GM Financial receivables, net","Version A includes allowance amounts ($906 and $869) and note references, version B does not."
2023 General Motors Annual Report,consolidated-balance-sheet,2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text_backup/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,true,wording_mismatch,"GM Financial receivables, net (Non-current)",description,"GM Financial receivables, net of allowance of $1,438 and $1,227 (Note 5; Note 11 at VIEs)","GM Financial receivables, net","Version A includes allowance amounts ($1,438 and $1,227) and note references, version B does not."
2023 General Motors Annual Report,consolidated-balance-sheet,2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text_backup/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,true,wording_mismatch,Short-term debt and current portion of long-term debt - GM Financial,description,GM Financial (Note 11 at VIEs),GM Financial,"Version A includes note reference (Note 11 at VIEs), version B does not."
2023 General Motors Annual Report,consolidated-balance-sheet,2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,extracted_text_backup/2023 General Motors Annual Report .consolidated-balance-sheet.llm.json,true,wording_mismatch,Long-term debt - GM Financial,description,GM Financial (Note 11 at VIEs),GM Financial,"Version A includes note reference (Note 11 at VIEs), version B does not."
2023 General Motors Annual Report,consolidated-cash-flow-statement,2023 General Motors Annual Report .consolidated-cash-flow-statement.llm.json,extracted_text/2023 General Motors Annual Report .consolidated-cash-flow-statement.llm.json,extracted_text_backup/2023 General Motors Annual Report .consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
2023 General Motors Annual Report,consolidated-income-statement,2023 General Motors Annual Report .consolidated-income-statement.llm.json,extracted_text/2023 General Motors Annual Report .consolidated-income-statement.llm.json,extracted_text_backup/2023 General Motors Annual Report .consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
alibaba_2025,consolidated-balance-sheet,alibaba_2025.consolidated-balance-sheet.llm.json,extracted_text/alibaba_2025.consolidated-balance-sheet.llm.json,extracted_text_backup/alibaba_2025.consolidated-balance-sheet.llm.json,false,none,,,,,No discrepancy found.
alibaba_2025,consolidated-cash-flow-statement,alibaba_2025.consolidated-cash-flow-statement.llm.json,extracted_text/alibaba_2025.consolidated-cash-flow-statement.llm.json,extracted_text_backup/alibaba_2025.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
alibaba_2025,consolidated-income-statement,alibaba_2025.consolidated-income-statement.llm.json,extracted_text/alibaba_2025.consolidated-income-statement.llm.json,extracted_text_backup/alibaba_2025.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
exxon_2024,consolidated-balance-sheet,exxon_2024.consolidated-balance-sheet.llm.json,extracted_text/exxon_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/exxon_2024.consolidated-balance-sheet.llm.json,false,none,,,,,No discrepancy found.
exxon_2024,consolidated-cash-flow-statement,exxon_2024.consolidated-cash-flow-statement.llm.json,extracted_text/exxon_2024.consolidated-cash-flow-statement.llm.json,extracted_text_backup/exxon_2024.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
exxon_2024,consolidated-income-statement,exxon_2024.consolidated-income-statement.llm.json,extracted_text/exxon_2024.consolidated-income-statement.llm.json,extracted_text_backup/exxon_2024.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
google_2024,consolidated-balance-sheet,google_2024.consolidated-balance-sheet.llm.json,extracted_text/google_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/google_2024.consolidated-balance-sheet.llm.json,true,missing_line_item,"Class A, Class B, and Class C stock and additional paid-in capital, $0.001 par value per share",both,"Class A, Class B, and Class C stock and additional paid-in capital, $0.001 par value per share: 300,000 shares authorized (Class A 180,000, Class B 60,000, Class C 60,000); 12,460 (Class A 5,899, Class B 870, Class C 5,691) and 12,211 (Class A 5,835, Class B 861, Class C 5,515) shares issued and outstanding","Class A, Class B, and Class C stock and additional paid-in capital, $0.001 par value per share","Version A (extracted_text) includes detailed text for this line item describing authorized shares, share counts, and issued/outstanding shares. Version B (backup) truncates the description after 'par value per share', omitting the share detail."
google_2024,consolidated-balance-sheet,google_2024.consolidated-balance-sheet.llm.json,extracted_text/google_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/google_2024.consolidated-balance-sheet.llm.json,true,missing_line_item,Commitments and Contingencies (Note 10),both,—,null (line item missing),Version A (extracted_text) includes the line item 'Commitments and Contingencies (Note 10)' with a value of '—'. This line item is completely absent from Version B (backup).
google_2024,consolidated-cash-flow-statement,google_2024.consolidated-cash-flow-statement.llm.json,extracted_text/google_2024.consolidated-cash-flow-statement.llm.json,extracted_text_backup/google_2024.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
google_2024,consolidated-income-statement,google_2024.consolidated-income-statement.llm.json,extracted_text/google_2024.consolidated-income-statement.llm.json,extracted_text_backup/google_2024.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
jpmorgan_2024,consolidated-balance-sheet,jpmorgan_2024.consolidated-balance-sheet.llm.json,extracted_text/jpmorgan_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/jpmorgan_2024.consolidated-balance-sheet.llm.json,true,missing_line_item,Commitments and contingencies,N/A,"Commitments and contingencies (refer to Notes 28, 29 and 30)",,"Version A includes a line item for commitments and contingencies with a note reference, but Version B omits this line entirely."
jpmorgan_2024,consolidated-balance-sheet,jpmorgan_2024.consolidated-balance-sheet.llm.json,extracted_text/jpmorgan_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/jpmorgan_2024.consolidated-balance-sheet.llm.json,true,wording_mismatch,Footnote (a),N/A,"Note: (a) The following table presents information on assets and liabilities related to VIEs that are consolidated by the Firm at December 31, 2024 and 2023. The assets of the consolidated VIEs are used to settle the liabilities of those entities. The holders of the beneficial interests do not have recourse to the general credit of JPMorganChase. The assets and liabilities in the table below include third-party assets and liabilities of consolidated VIEs and exclude intercompany balances that eliminate in consolidation. Refer to Note 14 for a further discussion.",(a) The table includes a footnote regarding assets and liabilities related to consolidated Variable Interest Entities (VIEs). Refer to the source text (Page 207) for the detailed footnote.,"The wording of footnote (a) is materially different. Version A provides a detailed note, while Version B only gives a summary and reference to the source."
jpmorgan_2024,consolidated-cash-flow-statement,jpmorgan_2024.consolidated-cash-flow-statement.llm.json,extracted_text/jpmorgan_2024.consolidated-cash-flow-statement.llm.json,extracted_text_backup/jpmorgan_2024.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
jpmorgan_2024,consolidated-income-statement,jpmorgan_2024.consolidated-income-statement.llm.json,extracted_text/jpmorgan_2024.consolidated-income-statement.llm.json,extracted_text_backup/jpmorgan_2024.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
lvmh_dec_2024,consolidated-balance-sheet,lvmh_dec_2024.consolidated-balance-sheet.llm.json,extracted_text/lvmh_dec_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/lvmh_dec_2024.consolidated-balance-sheet.llm.json,false,none,,,,,No discrepancy found.
lvmh_dec_2024,consolidated-cash-flow-statement,lvmh_dec_2024.consolidated-cash-flow-statement.llm.json,extracted_text/lvmh_dec_2024.consolidated-cash-flow-statement.llm.json,extracted_text_backup/lvmh_dec_2024.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
lvmh_dec_2024,consolidated-income-statement,lvmh_dec_2024.consolidated-income-statement.llm.json,extracted_text/lvmh_dec_2024.consolidated-income-statement.llm.json,extracted_text_backup/lvmh_dec_2024.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
microsoft_2025,consolidated-balance-sheet,microsoft_2025.consolidated-balance-sheet.llm.json,extracted_text/microsoft_2025.consolidated-balance-sheet.llm.json,extracted_text_backup/microsoft_2025.consolidated-balance-sheet.llm.json,false,none,,,,,No discrepancy found.
microsoft_2025,consolidated-cash-flow-statement,microsoft_2025.consolidated-cash-flow-statement.llm.json,extracted_text/microsoft_2025.consolidated-cash-flow-statement.llm.json,extracted_text_backup/microsoft_2025.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
microsoft_2025,consolidated-income-statement,microsoft_2025.consolidated-income-statement.llm.json,extracted_text/microsoft_2025.consolidated-income-statement.llm.json,extracted_text_backup/microsoft_2025.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
tencent_2024,consolidated-balance-sheet,tencent_2024.consolidated-balance-sheet.llm.json,extracted_text/tencent_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/tencent_2024.consolidated-balance-sheet.llm.json,false,none,,,,,No discrepancy found.
tencent_2024,consolidated-cash-flow-statement,tencent_2024.consolidated-cash-flow-statement.llm.json,extracted_text/tencent_2024.consolidated-cash-flow-statement.llm.json,extracted_text_backup/tencent_2024.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
tencent_2024,consolidated-income-statement,tencent_2024.consolidated-income-statement.llm.json,extracted_text/tencent_2024.consolidated-income-statement.llm.json,extracted_text_backup/tencent_2024.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
volkswagen_2024,consolidated-balance-sheet,volkswagen_2024.consolidated-balance-sheet.llm.json,extracted_text/volkswagen_2024.consolidated-balance-sheet.llm.json,extracted_text_backup/volkswagen_2024.consolidated-balance-sheet.llm.json,false,none,,,,,No discrepancy found.
volkswagen_2024,consolidated-cash-flow-statement,volkswagen_2024.consolidated-cash-flow-statement.llm.json,extracted_text/volkswagen_2024.consolidated-cash-flow-statement.llm.json,extracted_text_backup/volkswagen_2024.consolidated-cash-flow-statement.llm.json,false,none,,,,,No discrepancy found.
volkswagen_2024,consolidated-income-statement,volkswagen_2024.consolidated-income-statement.llm.json,extracted_text/volkswagen_2024.consolidated-income-statement.llm.json,extracted_text_backup/volkswagen_2024.consolidated-income-statement.llm.json,false,none,,,,,No discrepancy found.
