Ticker,Accession Number,Fact Label,XBRL Tag,Dimension(s),Fact Value,Fact Date,Context Type,Unit
JPM,0000950123-10-016029,Changes In Cash,us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease,None,-268000000,1/1/08,Unknown,unit
JPM,0000950123-11-019773,Share Issued,us-gaap:CommonStockSharesIssued,None,3657700000,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Deferred Tax,us-gaap:DeferredIncomeTaxExpenseBenefit,None,1307000000,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Basic EPS,us-gaap:EarningsPerShareBasic,None,4.38,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Diluted EPS,us-gaap:EarningsPerShareDiluted,None,4.33,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Effect Of Exchange Rate Changes,us-gaap:EffectOfExchangeRateOnCashAndCashEquivalents,None,424000000,1/1/08,Unknown,unit
JPM,0000950123-11-019773,Goodwill,us-gaap:Goodwill,None,45270000000,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Income Tax Paid Supplemental Data,us-gaap:IncomeTaxesPaid,None,7472000000,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Tax Provision,us-gaap:IncomeTaxExpenseBenefit,None,7440000000,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Interest Paid Supplemental Data,us-gaap:InterestPaid,None,43472000000,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Financing Cash Flow,us-gaap:NetCashProvidedByUsedInFinancingActivities,None,1.84056E+11,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Investing Cash Flow,us-gaap:NetCashProvidedByUsedInInvestingActivities,None,-74188000000,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Operating Cash Flow,us-gaap:NetCashProvidedByUsedInOperatingActivities,None,-1.1056E+11,1/1/08,Unknown,unit
JPM,0000950123-10-016029,Free Cash Flow,us-gaap:NetCashProvidedByUsedInOperatingActivities,None,-1.1056E+11,1/1/08,Unknown,unit
